Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks
brk,0,1,1,0,388,388,0,0.138927,0.003336
[unknown],45,36,81,53813,53813,107626,0.945513,0.218648,0.124067
syscall_brk,1,0,1,2774,0,2774,0.032127,0,0.006278
_dl_sysdep_start,4,1,5,10610,10940,21550,0.000794,0.138927,0.014064
syscall_arch_prctl,1,0,1,690,0,690,0.032127,0,0.006278
access,0,1,1,0,399,399,0,0.000117,0.003336
syscall_access,1,0,1,399,0,399,0.032127,0,0.006278
__GI___open64_nocancel,0,1,1,0,9822,9822,0,0.000534,0.003336
_dl_map_object,7,6,13,43363,43363,86726,0.003633,0.04665,0.018247
syscall_openat,4,0,4,11069,0,11069,0.06698,0,0.01226
_fxstat,0,2,2,0,9822,9822,0,0.007079,0.003336
syscall_newfstat,4,0,4,11138,0,11138,0.044546,0,0.012732
mmap64,0,1,1,0,41699,41699,0,0,0.003336
syscall_mmap,2,0,2,42353,0,42353,0,0,0.009005
__GI___close_nocancel,0,2,2,0,9820,9820,0,0.014941,0.003336
syscall_close,6,0,6,12940,0,12940,0.098053,0,0.014149
__GI___read_nocancel,0,1,1,0,9037,9037,0,0.000534,0.003336
syscall_read,2,0,2,11094,0,11094,0.038981,0,0.008874
__GI___pread64_nocancel,0,2,2,0,2778,2778,0,0.000546,0.003336
syscall_pread64,1,0,1,2778,0,2778,0.006854,0,0.005932
_dl_map_object_from_fd,1,1,2,990,990,1980,0.00008,0.000534,0.004753
init_tls,0,1,1,0,360,360,0,0.000117,0.003336
mprotect,0,3,3,0,13484,13484,0,0.000558,0.003336
dl_main,1,1,2,9452,9452,18904,0.000082,0.000117,0.00428
syscall_mprotect,4,0,4,13739,0,13739,0.062074,0,0.016237
munmap,0,2,2,0,783,783,0,0.005053,0.003336
syscall_munmap,3,0,3,1231,0,1231,0.033594,0,0.01053
__brk,0,1,1,0,2386,2386,0,0.138927,0.003336
__GI___libc_open,0,1,1,0,385,385,0,0.138927,0.003336
__dup2,0,1,1,0,1,1,0,0,0.003336
__libc_start_main,2,4,6,202,202,404,0,0.005744,0.023789
syscall_dup2,1,0,1,1,0,1,0.000844,0,0.008408
__fxstat64,0,2,2,0,1316,1316,0,0.149922,0.003336
__libc_fork,0,1,1,0,255,255,0,0.008606,0.003336
syscall_clone,3,0,3,554,0,554,0.058569,0,0.010326
__GI___wait4,0,5,5,0,265,265,0,0.154154,0.003336
main,5,1,6,201,201,402,0.027423,0,0.020733
syscall_wait4,2,0,2,265,0,265,0.032971,0,0.01135
__GI___getppid,0,4,4,0,255,255,0,0.012213,0.003336
syscall_getppid,2,0,2,255,0,255,0.002638,0,0.009117
__getpid,0,4,4,0,255,255,0,0.012213,0.003336
syscall_getpid,2,0,2,255,0,255,0.002638,0,0.009117
__open64_nocancel,0,3,3,0,862,862,0,0.159764,0.003336
__read_nocancel,0,1,1,0,1289,1289,0,0.138927,0.003336
llseek@GLIBC_2.2.5,0,1,1,0,258,258,0,0.138927,0.003336
syscall_lseek,1,0,1,258,0,258,0.032127,0,0.006278
__close_nocancel,0,6,6,0,1710,1710,0,0.19958,0.003336
factorial,3,2,5,72,72,144,0.02315,0.004029,0.008671
_nl_find_locale,3,1,4,618,618,1236,0.074828,0,0.00617
setlocale,1,3,4,618,618,1236,0,0.030794,0.008593
__mmap,0,1,1,0,654,654,0,0,0.003336
__GI___libc_write,0,1,1,0,3371,3371,0,0.138927,0.003336
syscall_write,1,0,1,3371,0,3371,0.032127,0,0.006278
__xstat64,0,2,2,0,1950,1950,0,0.141993,0.003336
syscall_newstat,1,0,1,1950,0,1950,0.032127,0,0.006278
findMin,3,2,5,137,137,274,0.026239,0,0.00532
subtract,1,1,2,41,41,82,0,0.003402,0.005601
chain4,4,1,5,144,144,288,0.026818,0,0.012214
chain1,1,1,2,144,144,288,0,0.004029,0.013746
__GI___libc_sigaction,0,3,3,0,23625,23625,0,0.160759,0.003336
syscall_rt_sigaction,4,0,4,33548,0,33548,0.103575,0,0.009853
__GI___sigprocmask,0,2,2,0,761,761,0,0.14554,0.003336
syscall_rt_sigprocmask,3,0,3,1337,0,1337,0.058569,0,0.010326
__spawnix,0,1,1,0,384,384,0,0.008606,0.003336
__clone,2,4,6,21776,22075,43851,0.045005,0.171357,0.005698
__munmap,0,1,1,0,448,448,0,0.004936,0.003336
__GI___getuid,0,1,1,0,192,192,0,0,0.003336
syscall_getuid,1,0,1,192,0,192,0,0,0.00617
__GI___getgid,0,1,1,0,192,192,0,0,0.003336
syscall_getgid,1,0,1,192,0,192,0,0,0.00617
__GI___geteuid,0,2,2,0,314,314,0,0.146817,0.003336
syscall_geteuid,2,0,2,314,0,314,0.053699,0,0.007695
__GI___getegid,0,1,1,0,134,134,0,0.138927,0.003336
syscall_getegid,1,0,1,134,0,134,0.032127,0,0.006278
__pthread_initialize_minimal_internal,0,3,3,0,576,576,0,0.145269,0.003336
syscall_set_tid_address,1,0,1,192,0,192,0.021345,0,0.00428
syscall_set_robust_list,2,0,2,320,0,320,0.021816,0,0.007115
__libc_sigaction,0,2,2,0,9923,9923,0,0.154146,0.003336
__getrlimit,0,1,1,0,192,192,0,0.138927,0.003336
syscall_prlimit64,1,0,1,192,0,192,0.032127,0,0.006278
__GI___getrandom,0,1,1,0,192,192,0,0.138927,0.003336
syscall_getrandom,1,0,1,192,0,192,0.032127,0,0.006278
__pipe,0,1,1,0,192,192,0,0.138927,0.003336
syscall_pipe,1,0,1,192,0,192,0.032127,0,0.006278
__close,0,3,3,0,1410,1410,0,0.156718,0.003336
__pthread_once_slow,0,1,1,0,3273,3273,0,0.138927,0.003336
syscall_futex,2,0,2,3281,0,3281,0.032836,0,0.009112
read,0,1,1,0,768,768,0,0.138927,0.003336
__GI___sysinfo,0,1,1,0,192,192,0,0,0.003336
syscall_sysinfo,1,0,1,192,0,192,0,0,0.00617
__socket,0,4,4,0,1044,1044,0,0.174178,0.003336
syscall_socket,1,0,1,1044,0,1044,0.032127,0,0.006278
__GI___tcgetattr,0,1,1,0,192,192,0,0.138927,0.003336
syscall_ioctl,2,0,2,640,0,640,0.053699,0,0.007695
__GI___ioctl,0,2,2,0,448,448,0,0.146817,0.003336
__GI___socketpair,0,1,1,0,320,320,0,0.138927,0.003336
syscall_socketpair,1,0,1,320,0,320,0.032127,0,0.006278
__fcntl64_nocancel_adjusted,0,2,2,0,1155,1155,0,0.146817,0.003336
syscall_fcntl,2,0,2,1155,0,1155,0.053699,0,0.007695
__poll,0,2,2,0,3481,3481,0,0.146817,0.003336
syscall_poll,2,0,2,3481,0,3481,0.053699,0,0.007695
__mprotect,0,2,2,0,255,255,0,0.148048,0.003336
start_thread,0,1,1,0,128,128,0,0.003205,0.003336
__nscd_get_mapping,3,1,4,383,383,766,0.07873,0,0.005462
__nscd_get_map_ref,1,1,2,383,383,766,0,0.138927,0.007987
__libc_connect,0,3,3,0,946,946,0,0.162063,0.003336
syscall_connect,1,0,1,946,0,946,0.032127,0,0.006278
__nscd_open_socket,3,1,4,381,381,762,0.07873,0,0.005462
__GI___inet_pton,1,1,2,381,381,762,0,0.012115,0.007987
getaddrinfo,6,1,7,1276,1276,2552,0.082451,0.138927,0.01841
_int_malloc,1,1,2,128,128,256,0.020863,0.138927,0.004753
__GI___uname,0,1,1,0,128,128,0,0.138927,0.003336
syscall_newuname,1,0,1,128,0,128,0.032127,0,0.006278
dl_open_worker,1,1,2,384,384,768,0.000082,0,0.00428
_dl_catch_exception,1,1,2,384,384,768,0,0.009121,0.006978
__GI___setsockopt,0,1,1,0,905,905,0,0.138927,0.003336
syscall_setsockopt,1,0,1,905,0,905,0.032127,0,0.006278
__sendmmsg,0,1,1,0,128,128,0,0.138927,0.003336
syscall_sendmmsg,1,0,1,128,0,128,0.032127,0,0.006278
__libc_recvfrom,0,1,1,0,256,256,0,0,0.003336
syscall_recvfrom,2,0,2,384,0,384,0,0,0.009005
__GI___bind,0,1,1,0,128,128,0,0.012115,0.003336
syscall_bind,1,0,1,128,0,128,0.032127,0,0.006278
__GI___getsockname,0,2,2,0,384,384,0,0.151042,0.003336
syscall_getsockname,1,0,1,384,0,384,0.032127,0,0.006278
__libc_sendto,0,1,1,0,128,128,0,0,0.003336
syscall_sendto,2,0,2,384,0,384,0,0,0.009005
__libc_recvmsg,0,1,1,0,384,384,0,0.012115,0.003336
syscall_recvmsg,1,0,1,384,0,384,0.032127,0,0.006278
__libc_send,0,1,1,0,256,256,0,0,0.003336
__madvise,0,1,1,0,128,128,0,0,0.003336
syscall_madvise,1,0,1,128,0,128,0,0,0.00617
malloc,1,1,2,128,128,256,0.023027,0.138927,0.00428
__GI___getsockopt,0,1,1,0,128,128,0,0,0.003336
syscall_getsockopt,1,0,1,128,0,128,0,0,0.00617
__GI___getpeername,0,1,1,0,128,128,0,0.138927,0.003336
syscall_getpeername,1,0,1,128,0,128,0.032127,0,0.006278
__libc_recv,0,1,1,0,128,128,0,0,0.003336
chain9,1,1,2,96,96,192,0,0,0.005601
chain7,1,1,2,96,96,192,0,0.003941,0.008104
__lll_lock_wait,0,1,1,0,2,2,0,0.138927,0.003336
__pthread_mutex_unlock,0,1,1,0,4,4,0,0.138927,0.003336
__pthread_clockjoin_ex,0,1,1,0,2,2,0,0.004825,0.003336
